,0
0,
1,-0.7614993232409429
2,1.3260375642725006
3,0.4689233091922324
4,-0.2020976485486029
5,
6,1.9616385327184134
7,
8,0.7514807097293815
9,2.948888945473349
10,0.5323725945933468
11,1.0460877704242533
12,1.5703171252339718
13,0.9927718789049715
14,1.8036193398998783
15,1.9905567551999173
16,2.76435430170643
17,1.0839610852959498
18,
19,
20,0.7026216706937787
21,1.2789405831829397
22,3.0222477348914296
23,1.5185317233344748
24,-0.06117914227115584
25,-1.2849127433031482
26,2.12956619878097
27,
28,0.8888657164546855
29,0.7352485265295137
30,-1.5320914541019164
31,-1.2258246320561463
32,
33,0.14780171291118765
34,
35,-1.0306038868794232
36,1.4914689776880592
37,-0.8317532232986398
38,-0.8592546196254331
39,-1.315858408724945
40,-1.9095136821674825
41,
42,
43,-2.6762095895861813
44,-1.9737243593344882
45,-1.3381292636160813
46,
47,
48,-2.3744861492343112
49,-1.606487305165878
50,-2.471340553708747
51,-1.4897108399572594
52,-2.17223722941603
53,-0.7457051869442584
54,-2.1029266890089255
55,-0.6256106919724156
56,-0.3987187159165214
57,
58,-1.4750626540570506
59,-3.1172792514799497
60,-1.1953346969952925
61,0.3059378437974235
62,
63,0.0100896367056338
64,0.4616196507017679
65,0.42244517957895916
66,-0.5139341472300423
67,0.6899131520211512
68,
69,1.0950176634386268
70,1.3937814420250754
71,1.5589379092475055
72,3.6027152609769235
73,3.660467456704761
74,1.3759204203464588
75,1.1619585087859772
76,1.7945544562444746
77,2.8716849729187723
78,1.1716239424318147
79,1.547187365539347
80,
81,2.33887797183382
82,3.4639081884346634
83,0.3194522733357925
84,2.816345437478585
85,2.9819586127428206
86,1.33775559910434
87,3.1155214014879253
88,
89,0.39833386429593753
90,1.2624820279474678
91,0.17533026072354874
92,1.9808503087164364
93,
94,-0.1720630834600672
95,-0.30449442167051183
96,0.4063427638487649
97,-1.9265427749984303
98,-0.9688760498569963
99,-0.1320230184343244
100,
101,
102,-0.7401304106889898
103,-2.2444215192479766
104,
105,-2.67162170142339
106,-0.9194739147702152
107,-0.9122276420107953
108,-1.6905863588830132
109,
110,-2.4539840076930597
111,-1.0938410226672541
112,-1.4031477364828011
113,
114,-1.5390838647949683
115,
116,-1.6921431539862306
117,-2.0360099614717315
118,-1.3358633806954492
119,-1.1387543789974544
120,0.3893339321655258
121,-1.792876086689723
122,-0.9702167417111432
123,-1.3958262645988007
124,
125,
126,0.6412834800909271
127,
128,
129,0.1983745981966546
130,1.3922030690023723
131,
132,-0.45256354744174576
133,
134,1.9926180148468529
135,
136,2.0379489921602825
137,2.4294234417394955
138,0.277976612664
139,
140,
141,
142,1.9133513615354891
143,3.5883599551823764
144,
145,2.2651109345901417
146,1.348008441466412
147,0.9606554023227587
148,0.5933140413719913
149,-0.19556974791688253
150,-0.6164706368862745
151,0.3022800502319697
152,0.18444290285260712
153,0.9648265707927574
154,1.6131435932687674
155,
156,0.33958231144140855
157,-0.4435270194777894
158,0.3217130211469472
159,0.11510331940903906
160,-0.8696972085387752
161,-2.3891153183723612
162,
163,-1.6566745485051737
164,-0.6446589328765644
165,-1.0584532243856417
166,
167,-1.1684145563541333
168,-1.5259725759010139
169,
170,-1.703612146227413
171,-2.2974985960780243
172,-1.7394090022183193
173,-2.617962449013304
174,-2.0322888058729593
175,-1.8093749184533805
176,0.0945889286780659
177,-1.6882949433654841
178,-2.653877579089479
179,-2.0886895935463397
180,-0.38399567901214526
181,
182,-1.135745774436471
183,
184,1.1694631769108648
185,-1.2311553364993388
186,-0.13917614516949045
187,
188,-1.737544062551079
189,-0.13269615997384893
190,1.4659551968428415
191,-0.5601940422887475
192,
193,
194,0.9206728439194856
195,0.9120460026087358
196,1.0513997767718244
197,0.7296996004471613
198,1.0688697304412575
199,1.4564367249737042
200,3.5501478929439605
201,2.138010570354271
202,1.7666436332489384
203,3.2152688466480845
204,
205,2.2100113159869843
206,
207,1.5709978657638441
208,0.8979541879457811
209,
210,2.7968878958583128
211,0.42863493295350663
212,3.707389441150866
213,1.1075661258842642
214,1.5845233672530725
215,2.364250588229286
216,0.9735178692259969
217,-0.2289278744488371
218,0.14423133875599217
219,0.8163989513506207
220,
221,-0.9820852286344703
222,0.35413935498635823
223,
224,-0.38608247902530146
225,-3.399166245766845
226,-1.278229555283709
227,-2.2131189962747415
228,
229,-1.1356665031072248
230,-1.9911225959994485
231,
232,-1.1475159221634978
233,-1.3463899147463905
234,-2.7839384899970017
235,-0.7640491458758598
